Element,Definition,FPDS Data Dictionary Element,Grouping,Domain Values,Domain Values Code Description
SimplifiedProceduresForCertainCommercialItems,"This field designates whether the acquisition utilized FAR 13.5 Test Program for Certain Commercial Items. The FAR 13.5 Test Program provides for the use of simplified acquisition procedures for the acquisition of supplies or services in amounts greater than the simplified acquisition threshold when: (1) the acquisition does not exceed $7.5 million and the contracting officer reasonably expects that offers will only include commercial items; (2) the acquisition does not exceed $15 million and is for commercial items that, as determined by the head of the agency, are to be used in support of a contingency operation or to facilitate the defense against or recovery from nuclear, biological, chemical, or radiological attack; or (3) the acquisition does not exceed $15 million and can be treated as an acquisition of commercial items in accordance with FAR 12.102(f)(1) -- agency head determines the supplies or services are to be used to facilitate defense against or recovery from nuclear, biological, chemical, or radiological attack.Read Less",Simplified Procedures for Certain Commercial Items,Award Attribute,Y = YES N = NO,Y = Simplified Procedures for Certain Commercial Items used N = Simplified Procedures for Certain Commercial Items not used
SmallAgriculturalCooperative,https://www.sam.gov,Small Agricultural Cooperative,Award Recipient,F = False T = True,
SmallBusinessCompetitivenessDemonstrationProgram,"Indicates whether the contract was awarded to a U.S. business concern as a result of a solicitation issued on or after Jan 1, 1989 for the four designated industry groups or the ten targeted industry categories as part of the Small Business Competitiveness Program as defined by FAR Part 19.10.Read Less",Small Business Competitiveness Demonstration Program,Award Attribute,Y = Yes N = No,"Y = FPDS will return Yes if Contracting Agency Code indicates a participating agency listed in FAR 19.1004 and NAICS indicates one of the Industry Groups listed in FAR 19.1005 and/or Agency-Specified Industry Categories and Referenced PIID does not point to an IDV for which IDV Type = FSS and Business Types does not indicate a governmental entity, or educational or non-profit organization and other provisions of FAR 19.10 are met. N = FPDS will return No if Yes does not apply.Read Less"
SmallDisadvantagedBusiness,"List characteristic of the contractor such as whether the selected contractor is a Small Disadvantaged Business Organization or not. It can be derived from the SAM data element, 'Business Types'.",Small Disadvantaged Business,Award Recipient,Y = Small Disadvantaged Business N = Other than Small Disadvantaged Business,
SoleProprietorship,https://www.sam.gov,Sole Proprietorship,Award Recipient,F = False T = True,
Solicitation Procedures Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Solicitation Procedures Field.,,Award Attribute,NP = NEGOTIATED PROPOSAL/QUOTE SB = SEALED BID TS = TWO STEP SP1 = SIMPLIFIED ACQUISITION AE = ARCHITECT-ENGINEER FAR 6.102 BR = BASIC RESEARCH AS = ALTERNATIVE SOURCES SSS = ONLY ONE SOURCE MAFO = SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITYRead Less,"NP = Report this code for contract awards over the Simplified Acquisition Threshold using negotiated procedures. FAR 12, FAR 13, and FAR15. SB = Report this code for contract award over the Simplified Acquisition Threshold using seal bidding procedures. FAR 14. TS = Report this code for contract award over the Simplified Acquisition Threshold that uses a combination of sealed bids and negotiated procedures. FAR 6.102. SP1 = Report this code for a competitive or non-competitive acquisition when Simplified Acquisition Procedures in FAR 13 are used. AE = Report this code if the action resulted from selection of sources for architect-engineer contracts pursuant to FAR 6.102(d)(1). BR = Report this code if the action resulted from competitive selection of basic research proposals pursuant to FAR 6.102(d)(2). AS = Report this code if the action resulted from the use of procedures that provide for full and open competition after exclusion of sources to reduce overall costs pursuant to FAR 6.202(a)(1), to have a facility available for national defense or industrial mobilization pursuant to FAR 6.202(a)(2), to establish or maintain an essential engineering, research, or development capability pursuant to FAR 6.202(a)(3), to ensure the continuous availability of a reliable source of supply for such property or service pursuant to FAR 6.202(a)(4), to satisfy projected needs for such product or service based on a history of high demand pursuant to FAR 6.202(a)(5), to satisfy a critical need for medical, safety, or emergency supplies pursuant to FAR 6.202(a)(6). SSS = Report this code if no solicitation procedure was used in this action. MAFO = Report this code if order was Subject to Multiple Award Fair Opportunity.Read Less"
SolicitationDate,"For award of a new contract, purchase order, task\delivery order, or BPA Call valued above the SAT a solicitation issuance date must be provided, regardless of whether the new award: Was required to be advertised (i.e., posted on FBO, etc.); Is an order under a single-award indefinite-delivery contract; or Is an award that was not competed.Read Less",Solicitation Date,Award Attribute,,
SolicitationIdentifier,Identifier used to link transactions in FPDS to solicitation information.,Solicitation Identifier,Award Attribute,,
SolicitationProcedures,The designator for competitive solicitation procedures available.,Solicitation Procedures,Award Attribute,NP = NEGOTIATED PROPOSAL/QUOTE SB = SEALED BID TS = TWO STEP SP1 = SIMPLIFIED ACQUISITION AE = ARCHITECT-ENGINEER FAR 6.102 BR = BASIC RESEARCH AS = ALTERNATIVE SOURCES SSS = ONLY ONE SOURCE MAFO = SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITYRead Less,"NP = Report this code for contract awards over the Simplified Acquisition Threshold using negotiated procedures. FAR 12, FAR 13, and FAR15. SB = Report this code for contract award over the Simplified Acquisition Threshold using seal bidding procedures. FAR 14. TS = Report this code for contract award over the Simplified Acquisition Threshold that uses a combination of sealed bids and negotiated procedures. FAR 6.102. SP1 = Report this code for a competitive or non-competitive acquisition when Simplified Acquisition Procedures in FAR 13 are used. AE = Report this code if the action resulted from selection of sources for architect-engineer contracts pursuant to FAR 6.102(d)(1). BR = Report this code if the action resulted from competitive selection of basic research proposals pursuant to FAR 6.102(d)(2). AS = Report this code if the action resulted from the use of procedures that provide for full and open competition after exclusion of sources to reduce overall costs pursuant to FAR 6.202(a)(1), to have a facility available for national defense or industrial mobilization pursuant to FAR 6.202(a)(2), to establish or maintain an essential engineering, research, or development capability pursuant to FAR 6.202(a)(3), to ensure the continuous availability of a reliable source of supply for such property or service pursuant to FAR 6.202(a)(4), to satisfy projected needs for such product or service based on a history of high demand pursuant to FAR 6.202(a)(5), to satisfy a critical need for medical, safety, or emergency supplies pursuant to FAR 6.202(a)(6). SSS = Report this code if no solicitation procedure was used in this action. MAFO = Report this code if order was Subject to Multiple Award Fair Opportunity.Read Less"
SpendingAuthorityFromOffsettingCollectionsAmountTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Spending authority from offsetting collections is a type of budget authority that permits obligations and outlays to be financed by offsetting collections. Offsetting collections mean payments to the Government that, by law, are credited directly to expenditure accounts and deducted from gross budget authority and outlays of the expenditure account, rather than added to receipts. Usually, they are authorized to be spent for the purposes of the account without further action by Congress. They usually result from business-like transactions with the public, including payments from the public in exchange for goods and services, reimbursements for damages, and gifts or donations of money to the Government and from intragovernmental transactions with other Government accounts. The authority to spend offsetting collections is a form of budget authority.Read Less",,Account Resources,,
StateControlledInstitutionOfHigherLearning,https://www.sam.gov,State Controlled Institution of Higher Learning,Award Recipient,F = False T = True,
StatusOfBudgetaryResourcesTotal_CPE,"This element addresses the status of budgetary resources and includes the total of obligated and unobligated balances, at the reported date. The value should equal the Budget Authority Available Amount Total for the TAS at Current Period End.Read Less",,Account Status,,
SubAccountCode,This is a component of the TAS. Identifies a Treasury-defined subdivision of the main account. This field cannot be blank. Subaccount 000 indicates the Parent account.,,Treasury Account,See https://sam.for.fiscal.treasury.gov/sampublic/tasbetc.htm (SUB column),
SubAwardActionDate,The date the action being reported was issued / signed by the Government or a binding agreement was reached.,,Sub-Award Attribute,,
SubAwardAmount,The total amount being awarded to the sub award recipient.,,Sub-Award Spending,,
SubAwardDescription,A brief description of the purpose of the award.,,Sub-Award Attribute,,
SubAwardeeBusinessTypes,Comma separated list representing sub-contractor business types pulled from Federal Procurement Data System (FPDS) or the System for Award Management (SAM).,,Sub-Award Recipient,Refer to the GSA FSRS system,
SubAwardeeDoingBusinessAsName,The doing as business name of the contractor address.,,Sub-Award Recipient,,
SubAwardeeHighCompOfficer1Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the sub-awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer1FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in the sub-awardee's management positions.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer2Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the sub-awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer2FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in the sub-awardee's management positions.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer3Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the sub-awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer3FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in the sub-awardee's management positions.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer4Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the sub-awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer4FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in the sub-awardee's management positions.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer5Amount,"The cash and noncash dollar value earned by the one of the five most highly compensated “Executives” during the sub-awardee's preceding fiscal year and includes the following (for more information see 17 CFR 229.402c2): salary and bonuses, awards of stock, stock options, and stock appreciation rights, earnings for services under non-equity incentive plans, change in pension value, above-market earnings on deferred compensation which is not tax qualified, and other compensation.Read Less",,Sub-Award Recipient,,
SubAwardeeHighCompOfficer5FullName,"The name of an individual identified as one of the five most highly compensated ""Executives."" ""Executive"" means officers, managing partners, or any other employees in the sub-awardee's management positions.Read Less",,Sub-Award Recipient,,
SubAwardeeLegalEntityAddressLine1,First line of the awardee or recipient’s legal business address where the office represented by the Unique Entity Identifier (as registered in the System for Award Management) is located.,,Sub-Award Recipient,,
SubAwardeeLegalEntityCityName,Name of the city in which the awardee or recipient’s legal business address is located.,,Sub-Award Recipient,Refer to the GSA FSRS system,
SubAwardeeLegalEntityCongressionalDistrict,The congressional district in which the awardee or recipient is located. This is not a required data element for non-U.S. addresses.,,Sub-Award Recipient,Refer to the GSA FSRS system,
SubAwardeeLegalEntityCountryCode,"Code for the country in which the awardee or recipient is located, using the International Standard for country codes (ISO) 3166-1 Alpha-3 GENC Profile, minus the codes listed for those territories and possessions of the United States already identified as “states.”Read Less",,Sub-Award Recipient,Refer to the GSA FSRS system,
SubAwardeeLegalEntityCountryName,The name corresponding to the country code.,,Sub-Award Recipient,Refer to the GSA FSRS system,
SubAwardeeLegalEntityForeignPostalCode,For foreign recipients only: foreign postal code in which the awardee or recipient's legal business address is located.,,Sub-Award Recipient,,
SubAwardeeLegalEntityStateCode,"United States Postal Service (USPS) two-letter abbreviation for the state or territory in which the awardee or recipient’s legal business address is located. Identify States, the District of Columbia, territories (i.e., American Samoa, Guam, Northern Mariana Islands, Puerto Rico, U.S. Virgin Islands) and associated states (i.e., Republic of the Marshall Islands, the Federated States of Micronesia, and Palau) by their USPS two-letter abbreviation for the purposes of reporting.Read Less",,Sub-Award Recipient,Refer to the GSA FSRS system,
SubAwardeeLegalEntityStateName,State where the awardee or recipient is located.,,Sub-Award Recipient,Refer to the GSA FSRS system,
SubAwardeeLegalEntityZIP+4,USPS zoning code associated with the awardee or recipient’s legal business address. This is not a required data element for non-US addresses.,,Sub-Award Recipient,Refer to the GSA FSRS system,
SubAwardeeOrRecipientLegalEntityName,"The name of the subaward recipient that relates to the subaward recipient unique identifier. For U.S. based companies, this name is what the business ordinarily files in formation documents with individual states (when required).Read Less",,Sub-Award Recipient,,
SubAwardeeOrRecipientUEI,"The Unique Entity Identifier (UEI) for the subaward recipient. A UEI is a unique alphanumeric code used to identify a specific commercial, nonprofit, or business entity.",,,,
SubAwardeeUltimateParentUEI,"The Unique Entity Identifier (UEI) for the ultimate parent entity of a subaward recipient. A UEI is a unique alphanumeric code used to identify a specific commercial, nonprofit, or business entity.",,,,
SubAwardFiscalYear,"The fiscal year of the sub award ActionDate. Note that the Federal fiscal year begins on October 1 and ends on September 30, thus October 1, 2018 is the first day of the 2019 fiscal year.",,Sub-Award Attribute,,
SubAwardNumber,"An identifying number assigned by the prime awardee organization to facilitate the tracking of its sub-awards. Note: the SubAwardNumber assigned by the prime awardee may not be unique, and should not be considered a unique key (or even a component of a unique key) for the subaward record.Read Less",,Sub-Award Attribute,,
SubAwardPlaceOfPerformanceAddressLine1,Address Line 1.,,Sub-Award Attribute,,
SubAwardPlaceOfPerformanceCityName,The name of the city where the predominant performance of the sub-award will be accomplished.,,Sub-Award Attribute,Refer to the GSA FSRS system,
SubAwardPlaceOfPerformanceCongressionalDistrict,U.S. Congressional district where the predominant performance of the sub-award will be accomplished.,,Sub-Award Attribute,Refer to the GSA FSRS system,
SubAwardPlaceOfPerformanceCountryCode,Country code where the predominant performance of the sub-award will be accomplished.,,Sub-Award Attribute,Refer to the GSA FSRS system,
SubAwardPlaceOfPerformanceCountryName,Name of the country represented by the country code where the predominant performance of the sub-award will be accomplished.,,Sub-Award Attribute,Refer to the GSA FSRS system,
SubAwardPlaceOfPerformanceStateCode,"United States Postal Service (USPS) two-letter abbreviation for the state or territory indicating where the predominant performance of the sub-award will be accomplished. Identify States, the District of Columbia, territories (i.e., American Samoa, Guam, Northern Mariana Islands, Puerto Rico, U.S. Virgin Islands) and associated states (i.e., Republic of the Marshall Islands, the Federated States of Micronesia, and Palau) by their USPS two-letter abbreviation for the purposes of reporting.Read Less",,Sub-Award Attribute,Refer to the GSA FSRS system,
SubAwardPlaceOfPerformanceStateName,The name of the state or territory where the predominant performance of the sub-award will be accomplished.,,Sub-Award Attribute,Refer to the GSA FSRS system,
SubAwardPlaceOfPerformanceZIP+4,"United States ZIP code (five digits) concatenated with the additional +4 digits, identifying where the predominant performance of the sub-award will be accomplished.",,Sub-Award Attribute,Refer to the GSA FSRS system,
SubAwardReportID,"Unique 32-character identifier for a report in FFATA Subaward Reporting System (FSRS) that can be used to easily navigate to the report within that system. A 'report' is the data submission construct for subawards in FSRS; reports can and often do contain multiple subaward records. If a report in FSRS is edited, it will maintain the same SubAwardReportID upon republication.Read Less",,Sub-Award Attribute,,
SubAwardReportLastModifiedDate,The last modified date captures the change date.,,Sub-Award Attribute,,
SubAwardReportMonth,The month in which a given report in the FFATA Subaward Reporting System (FSRS) was published by the prime awardee.,,Sub-Award Attribute,,
SubAwardReportYear,The year in which a given report in the FFATA Subaward Reporting System (FSRS) was published by the prime awardee.,,Sub-Award Attribute,,
SubAwardType,The type of sub-award (either sub-contract or sub-grant).,,Sub-Award Attribute,N/A= sub-contract N/A= sub-grant,
Subchapter_S_Corporation,https://www.sam.gov,Subchapter S Corporation,Award Recipient,F = False T = True,
Subcontinent_Asian_Asian-Indian_American_Owned_Business,"List characteristic of the contractor such as whether the selected contractor is a Subcontinent Asian (Asian- Indian) American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.Read Less",Subcontinent Asian (Asian - Indian) American Owned Business,Award Recipient,F = False T = True,
Subcontracting Plan Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Subcontracting Plan Field.,,Award Attribute,A = PLAN NOT INCLUDED - NO SUBCONTRACTING POSSIBILITIES B = PLAN NOT REQUIRED C = PLAN REQUIRED - INCENTIVE NOT INCLUDED D = PLAN REQUIRED - INCENTIVE INCLUDED E = PLAN REQUIRED (PRE 2004) F = INDIVIDUAL SUBCONTRACT PLAN G = COMMERCIAL SUBCONTRACT PLAN H = DOD COMPREHENSIVE SUBCONTRACT PLANRead Less,"A = A Subcontracting Plan was not included in the contract because subcontracting possibilities do not exist (FAR 19.705-2I) B = No Subcontracting Plan was required. (Ex. The action did not meet the dollar thresholds in FAR 19.702(a)) C = Includes a Subcontracting Plan, but does not include additional incentives (FAR 19.702(a) and FAR 19.708(c)). This value is end dated as of May 1, 2015. D = Includes a Subcontracting Plan and also includes additional incentives (FAR 19.702(a), FAR 19.708(c) and DFARS 219.708(c))). This value is end dated as of May 1, 2015. E = Plan Required (Pre 2004) F = Applies to a specific contract with goals that covers the entire contract period, including option periods (FAR 19.701) G = ""Commercial plan"" means a subcontracting plan (including goals) that covers the offerer's fiscal year and that applies to the entire production of commercial items sold by either the entire company or a portion thereof (e.g., division, plant, or product line) (FAR 19.701) H = A subcontracting plan based on a plant, division, or company-wide basis. This value is only valid for DoD. (DFARS 219.702).Read Less"
SubcontractingPlan,Subcontracting plan requirement. (See FAR Part 19.702).,Subcontracting Plan,Award Attribute,A = PLAN NOT INCLUDED - NO SUBCONTRACTING POSSIBILITIES B = PLAN NOT REQUIRED C = PLAN REQUIRED - INCENTIVE NOT INCLUDED D = PLAN REQUIRED - INCENTIVE INCLUDED E = PLAN REQUIRED (PRE 2004) F = INDIVIDUAL SUBCONTRACT PLAN G = COMMERCIAL SUBCONTRACT PLAN H = DOD COMPREHENSIVE SUBCONTRACT PLANRead Less,"A = A Subcontracting Plan was not included in the contract because subcontracting possibilities do not exist (FAR 19.705-2I) B = No Subcontracting Plan was required. (Ex. The action did not meet the dollar thresholds in FAR 19.702(a)) C = Includes a Subcontracting Plan, but does not include additional incentives (FAR 19.702(a) and FAR 19.708(c)). This value is end dated as of May 1, 2015. D = Includes a Subcontracting Plan and also includes additional incentives (FAR 19.702(a), FAR 19.708(c) and DFARS 219.708(c))). This value is end dated as of May 1, 2015. E = Plan Required (Pre 2004) F = Applies to a specific contract with goals that covers the entire contract period, including option periods (FAR 19.701) G = ""Commercial plan"" means a subcontracting plan (including goals) that covers the offerer's fiscal year and that applies to the entire production of commercial items sold by either the entire company or a portion thereof (e.g., division, plant, or product line) (FAR 19.701) H = A subcontracting plan based on a plant, division, or company-wide basis. This value is only valid for DoD. (DFARS 219.702).Read Less"
SubmissionPeriod,"The submission period relevant to the displayed data, including both the fiscal year and the quarter/period.",,Submission Attribute,,
TheAbilityOneProgram,"List characteristic of the contractor such as whether the selected contractor is a Sheltered Workshop (JWOD Provider) Organization or not. It can be derived from the SAM data element, 'Business Types'.",The AbilityOne Program,Award Recipient,F = False T = True,
TotalBudgetaryResources_CPE,Budgetary resources mean amounts available to incur obligations in a given year. Budgetary resources consist of new budget authority and unobligated balances of budget authority provided in previous years.,,Account Resources,,
TotalDollarsObligated,"This is a system generated element providing the sum of all the amounts entered in the ""Action Obligation"" field for a particular PIID and Agency. Example: Contract has 9 Modifications under ""Transaction Number"" as '1' and 9 modifications with the same PIID under ""Transaction Number"" as '2'. The base contracts and all the modifications have ""Action Obligation"" as $10 each. The value for the field ""Total Obligated Amount"" when the either of the bases or the modification is retrieved through atom feeds will be $200 ($100 under Transaction Number 1 + $100 under Transaction Number 2). ""Total Obligated Amount"" is generated irrespective of the ""Transaction Number"" on the Awards.Read Less",Total Dollars Obligated,Award Spending,,
TotalFundingAmount,The sum of the FederalActionObligation and the Non-Federal Funding Amount.,,Award Spending,,
TotalLoanValue,The sum of all face values in all transactions with the same FAIN.,,Award Spending,,
TotalNonFederalFundingAmount,"The amount of the total award funded by non-Federal source(s), in dollars.",,,,
TotalOutlayedAmountForOverallAward,"Represents the total outlayed amount for a given award across time. Note that outlays have only been required to be reported since FY22 (other than for COVID-19 supplemental-funded awards, which were reported starting in FY20)Read Less",,Award Spending,,
TotalSubsidyCost,The sum of all original subsidy costs from all transactions with the same FAIN.,,Award Spending,,
TownshipLocalGovernment,https://www.sam.gov,Township Local Government,Award Recipient,F = False T = True,
TransactionNumber,"Tie Breaker for legal, unique transactions that would otherwise have the same key.",Transaction Number,Award Attribute,,
TransactionObligatedAmount,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Obligation means a binding agreement that will result in outlays, immediately or in the future. Budgetary resources must be available before obligations can be incurred legally.Read Less",,Account Breakdown,,
TransitAuthority,https://www.sam.gov,Transit Authority,Award Recipient,F = False T = True,
TreasuryAccountName,A descriptive name of the Treasury Account Symbol (TAS).,,Treasury Account,See https://sam.for.fiscal.treasury.gov/sampublic/tasbetc.htm (GWA TAS NAME column),
TreasuryAccountsFundingThisAward,A single field with associated treasury accounts in order of funding dollars.,,Treasury Account,See https://sam.for.fiscal.treasury.gov/sampublic/tasbetc.htm (combination of columns B to H),
TreasuryAccountSymbol,"The Treasury Account Symbol (TAS) is an identification code, to an individual appropriation, receipt, or other fund account. The TAS is concatenated from seven different components: Allocation Transfer Agency Identifier, Agency Identifier, Beginning/Ending Period of Availability, Availability Type Code, Main Account Code, and Subaccount Code. Note that TAS will have either a Beginning and Ending Period of Availability or an Availability Type Code, not both.Read Less",,Treasury Account,See https://sam.for.fiscal.treasury.gov/sampublic/tasbetc.htm (combination of columns B to H),
TribalCollege,https://www.sam.gov,Tribal College,Award Recipient,F = False T = True,
TriballyOwnedFirm,https://www.sam.gov,Tribally Owned Firm,Award Recipient,F = False T = True,
Type of IDC Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Type of IDC Field.,,Award Attribute,A = INDEFINITE DELIVERY / REQUIREMENTS B = INDEFINITE DELIVERY / INDEFINITE QUANTITY C = INDEFINITE DELIVERY / DEFINITE QUANTITY,
Type Set Aside Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Type Set Aside Field.,,Award Attribute,NONE = NO SET ASIDE USED SBA = SMALL BUSINESS SET ASIDE - TOTAL 8A = 8A COMPETED SBP = SMALL BUSINESS SET ASIDE - PARTIAL HMT = HBCU OR MI SET-ASIDE -- TOTAL HMP = HBCU OR MI SET-ASIDE - PARTIAL VSB = VERY SMALL BUSINESS ESB = EMERGING SMALL BUSINESS SET-ASIDE HZC = HUBZONE SET-ASIDE SDVOSBC = SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE BI = BUY INDIAN IEE = INDIAN ECONOMIC ENTERPRISE ISBEE = INDIAN SMALL BUSINESS ECONOMIC ENTERPRISE HZS = HUBZONE SOLE SOURCE SDVOSBS = SDVOSB SOLE SOURCE 8AN = 8(A) SOLE SOURCE RSB = RESERVED FOR SMALL BUSINESS 8AC = SDB Set-Aside 8(a)-(Will be deprecated in future) HS2 = Combination HUBZone and 8(a)-(Will be deprecated in future) HS3 = 8(A) WITH HUB ZONE PREFERENCE VSA = VETERAN SET ASIDE VSS = VETERAN SOLE SOURCE WOSB = WOMEN OWNED SMALL BUSINESS EDWOSB = ECONOMICALLY DISADVANTAGED WOMEN OWNED SMALL BUSINESS WOSBSS = WOMEN OWNED SMALL BUSINESS SOLE SOURCE EDWOSBSS = ECONOMICALLY DISADVANTAGED WOMEN OWNED SMALL BUSINESS SOLE SOURCERead Less,"NONE = Report this code if the contract award was not a socio-economic program set-aside SBA = Report this code for a small business set aside 8A = Report this code for an 8a award pursuant to FAR 19.805-2 SBP = Report this code for a partial small business set aside made pursuant to FAR 19.502-3 HMT = Report this code for an award directed to a Historically Black College/University or Minority Institution per DFARS 226.7003 HMP = Report this code for contract awards directed to Historically Black College/University of Minority Institution per DFARS 235.016 VSB = Report this code if the acquisition is between $2,501 and $50,000 and was awarded to a very small business concern as a result of using set-aside procedures under the very small business pilot program set forth in FAR 19.9. This code is valid until 12/08/2004 ESB = Enter this code if the action was an emerging small business reserve award (set-aside) within a designated industry group under the Small Business Competitiveness Demonstration Program (see FAR Subpart 19.10) HZC = Report this code if the award was made to a HUBZone small business concern after being competed among only HUBZone small business concerns. See FAR 19.1305 SDVOSBC = Report this code for contract awards exceeding the micro purchase threshold set-aside for competition restricted to service-disabled veteran-owned small business concerns. FAR.19.1405 BI = Report this code if applicable. As of 7/8/2013 this value can no longer be used by the Department of Interior. This code can still be used by the Indian Health Service of the Department of Health and Human Services. IEE= Report this code if applicable. This value can only be used by the Department of Interior. The start date is 7/8/2013. ISBEE = Report this code if applicable. This value can only be used by the Department of Interior. The start date is 7/8/2013. HZS = Report this code if the award was made through noncompetitive procedures to a HUBZone small business concern under the authority of FAR 19.1306. SDVOSBS = Report this code for contract awards exceeding the micro purchase threshold set-aside for non competitive award to service-disabled veteran-owned small business concerns. FAR 19.1406 8AN = Report this code for actions with the Small Business Administration pursuant to FAR 19.8, or directly with an 8(a) contractor pursuant to a memorandum of understanding between the SBA and the reporting agency per 219.811 RSB = Report this code if awards exceeds the micro-purchase threshold but does not exceed the simplified acquisition threshold. FAR 13. This code is valid until 10/31/2009 8AC = Report this code for a small disadvantaged business award made under a competitive 8(a) preference program pursuant to FAR 19.800(d). This code is not valid for base documents signed after 11/18/2005 HS2 = Report this code if the award was a combination HUBZone set-aside and 8(a) award. This code is not valid for base documents signed after 10/02/2008. HS3 = Report this code when the primary preference program was 8(a) and priority was given to the 8(a) concern that was also a HUBZone small business concern. See FAR 19.800(d). This code is not valid for base documents signed after 10/02/2008. VSA = Report this code for actions with Veteran Owned Businesses VSS = Report this code for actions with Veteran Owned Businesses. WOSB = Report this code for a Women Owned Small Business Set-Aside made pursuant to FAR 19.15. This code is only valid for actions signed on or after 4/01/2011. EDWOSB = Report this code for an Economically Disadvantaged Women Owned Small Business Set-Aside made pursuant to FAR 19.15. This code is only valid for actions signed on or after 4/01/2011. WOSBSS = Report this code for a Women Owned Small Business Sole Source made pursuant to FAR 19.15. This code is only valid for actions signed on or after 11/13/2015. EDWOSBSS = Report this code for an Economically Disadvantaged Women Owned Small Business Sole Source made pursuant to FAR 19.15. This code is only valid for actions signed on or after 11/13/2015.Read Less"
Type_of_IDC,"Identifies whether the IDC or Multi-Agency Contract is Indefinite Delivery/Requirements, Indefinite Delivery/Indefinite Quantity, or Indefinite Delivery/Definite Quantity. A requirements contract provides for filling all actual purchase requirements of designated Government activities for supplies or services during a specified contract period, with deliveries or performance to be scheduled by placing orders with the contractor. A Requirements IDC or Multi-Agency Contract is a contract for all of the agency's requirement for the supplies or services specified, and effective for the period stated, in the IDC or Multi-Agency Contract. After award, the contract is a mandatory source for the agency for the supplies or services specified. The quantities of supplies or services specified in the IDC or Multi-Agency Contract are estimates only and are not purchased by this contract. Except as this contract may otherwise provide, if the government's requirements do not result in orders in the quantities described as ""estimated"" or ""maximum"" in the Schedule, that fact shall not constitute the basis for an equitable price adjustment. An indefinite-quantity contract provides for an indefinite quantity, within stated limits, of supplies or services during a fixed period. The Government places orders for individual requirements. Quantity limits may be stated as number of units or as dollar values. An Indefinite Quantity is a contract for the supplies or services specified, and effective for the period stated, in the IDC or Multi-Agency Contract. The quantities of supplies and services specified in the IDC or Multi-Agency Contract are estimates only and are not purchased by this contract. A definite-quantity contract provides for delivery of a definite quantity of specific supplies or services for a fixed period, with deliveries or performance to be scheduled at designated locations upon order. A Definite Quantity IDC or Multi-Agency Contract is a definite-quantity, indefinite-delivery contract for the supplies or services specified, and effective for the period stated, in the IDC or Multi-Agency Contract.Read Less",Type of IDC,Award Attribute,A = INDEFINITE DELIVERY / REQUIREMENTS B = INDEFINITE DELIVERY / INDEFINITE QUANTITY C = INDEFINITE DELIVERY / DEFINITE QUANTITY,
